ADDRESS,CITY,"STATEMENT
DATE",UNIT,STATEMENT FROM DATE*,"STATEMENT 
TO DATE*",NUMBER OF DAYS,CALCULATED GPD*
1715 Santa Clara Ave # A,Alameda,1/28/16,81,11/18/15,1/22/16,65,932
616 Haight Ave,Alameda,12/28/15,146,10/20/15,12/22/15,63,1733
2049 San Antonio Ave,Alameda,1/11/16,136,11/3/15,1/7/16,65,1565
150 Ridge Rd,Alamo,12/29/15,180,10/21/15,12/23/15,63,2137
39 Shandelin Ln,Alamo,12/30/15,158,10/21/15,12/28/15,68,1738
105 Winestone Ct,Alamo,12/29/15,94,10/21/15,12/23/15,63,1116
204 Glenwood Ct,Alamo,12/31/15,194,10/21/15,12/23/15,63,2303
104 Muir Ln,Alamo,1/12/16,153,11/3/15,1/6/16,64,1788
2600 Lunada Ln,Alamo,1/27/16,120,11/18/15,1/25/16,68,1320
185 Alamo Ranch Rd,Alamo,1/29/16,104,11/19/15,1/25/16,67,1161
191 Alamo Ranch Rd,Alamo,1/29/16,121,11/19/15,1/25/16,67,1351
3065 Oakraider Dr,Alamo,12/29/15,155,10/21/15,12/22/15,62,1870
229 Valley Oaks Dr,Alamo,12/30/15,82,10/22/15,12/28/15,67,915
2130 Las Trampas Rd,Alamo,1/29/16,308,11/19/15,1/26/16,68,3388
401 Red Wing Dr,Alamo,1/27/16,110,11/17/15,1/22/16,66,1247
12 Country Oak Ln,Alamo,1/28/16,324,11/17/15,1/22/16,66,3672
137 Dean Rd,Alamo,12/29/15,176,10/21/15,12/23/15,63,2090
1117 Merlin Ct,Alamo,12/30/15,115,10/21/15,12/28/15,68,1265
75 Golden Meadow Ln,Alamo,1/27/16,83,11/17/15,1/22/16,66,941
130 Camille Ct,Alamo,1/12/16,119,11/3/15,1/6/16,64,1391
140 Daniel Dr,Alamo,1/12/16,216,11/3/15,1/6/16,64,2525
927 Forest Ln,Alamo,1/12/16,118,11/3/15,1/6/16,64,1379
801 Miranda Creek Ct,Alamo,12/28/15,131,10/21/15,12/22/15,62,1580
106 Lark Ct,Alamo,1/29/16,82,11/19/15,1/26/16,68,902
176 La Sonoma Way,Alamo,1/29/16,109,11/23/15,1/26/16,64,1274
930 Camille Ln,Alamo,1/12/16,248,11/3/15,1/6/16,64,2899
135 Smith Rd,Alamo,12/29/15,123,10/21/15,12/23/15,63,1460
11 Manti Ter,Alamo,12/29/15,86,10/21/15,12/23/15,63,1021
103 Lark Ct,Alamo,1/29/16,112,11/19/15,1/26/16,68,1232
145 Winestone Ct,Alamo,12/29/15,89,10/21/15,12/23/15,63,1057
109 Muir Ln,Alamo,1/12/16,120,11/3/15,1/6/16,64,1403
44 Stone Creek Pl,Alamo,12/29/15,116,10/21/15,12/23/15,63,1377
16 Wood Ct,Alamo,1/27/16,97,11/20/15,1/25/16,66,1099
1817 Piedras Cir,Alamo,12/30/15,84,10/21/15,12/28/15,68,924
21 Carriage Ct,Alamo,1/12/16,83,11/3/15,1/6/16,64,970
2336 Stone Valley Rd,Alamo,12/30/15,124,10/22/15,12/28/15,67,1384
